#z_obs, sigma_z#
0.03225241338, 0.0329467876942
0.0500372232532, 0.0333572690325
0.0074982100499, 0.0324457482291
0.114589623798, 0.0339429259551
0.145418847489, 0.0343800479984
0.00159743156388, 0.0334575835066
0.0686737103125, 0.0346476219916
0.105189534319, 0.0348673165085
0.211097059415, 0.0360066692644
0.107029969833, 0.0354695034172
0.0423076769501, 0.0354742422841
0.108116714071, 0.0361133139793
0.10836712628, 0.0357575959317
0.15580674164, 0.0361472755115
0.160239692729, 0.0361306831291
0.139272716929, 0.0360606597539
0.133424882168, 0.0354210757181
0.166240424005, 0.0362158725099
0.153033120462, 0.0354219064254
0.166347807568, 0.0370093982002
0.217802041863, 0.0365188221908
0.219311866955, 0.037352978542
0.188064389747, 0.036715634464
0.172100246576, 0.0368058434734
0.164059023015, 0.0372713885553
0.131153879131, 0.037222369478
0.210343597698, 0.0369969536121
0.100316457116, 0.0365101596732
0.182968200239, 0.0373216580751
0.197021236945, 0.0368996835104
0.206327862687, 0.0368062811783
0.135070478403, 0.0369623923951
0.142694555452, 0.0370518805395
0.213226762591, 0.0369764695949
0.240406730004, 0.0363944673839
0.217090145487, 0.0378077242566
0.178782790954, 0.037861774846
0.219445330277, 0.0375166848983
0.152280808134, 0.0375600009275
0.151808928794, 0.0376356329242
0.215915400418, 0.0381643407644
0.175780585939, 0.0376377834582
0.172411559058, 0.0382807902548
0.207356743931, 0.0379427947052
0.25741291472, 0.0382286082537
0.171785868961, 0.0374096094235
0.216283456815, 0.0376022209294
0.19402533348, 0.0378827226834
0.215797175399, 0.0381660882222
0.186035068108, 0.0380850695835
0.183529927287, 0.0380902726448
0.2509680641, 0.0375994649764
0.19482590116, 0.0381661136699
0.183763975761, 0.0376239923283
0.142939479457, 0.0373803709449
0.18561653699, 0.0376101241202
0.213073047383, 0.0374804213666
0.169974721378, 0.0382111301851
0.243936843586, 0.0381895023263
0.176868272836, 0.0375299762885
0.2350456629, 0.038776211168
0.19335367622, 0.0384392187741
0.270049152034, 0.0389311091881
0.295831016651, 0.0390949730748
0.194954145936, 0.0390297425721
0.235624183451, 0.0390638903713
0.21822175061, 0.0384069840963
0.315122951192, 0.0387778880769
0.220934766548, 0.0387212656733
0.232183823957, 0.0386015347464
0.260162608924, 0.0390112805765
0.207997977554, 0.0386345837589
0.226830408149, 0.0385813404386
0.230389062942, 0.0388385105639
0.251659429875, 0.0392855532204
0.264233829144, 0.0389956228298
0.274788634533, 0.0392166543461
0.241850490804, 0.0387883941135
0.195559567536, 0.0385620431072
0.212150276016, 0.0390285107517
0.288679650024, 0.0394134839494
0.311665330559, 0.0395237017375
0.29505763843, 0.0400619113834
0.284861179013, 0.0396289198558
0.303969852141, 0.0398569818094
0.267236013632, 0.0398052091954
0.194735202011, 0.0399406996274
0.21034086377, 0.0394309894326
0.242554069769, 0.0402852928534
0.248377177772, 0.0394251855825
0.20448537943, 0.0399284763999
0.265598461985, 0.0395911716915
0.229296221896, 0.0398705392541
0.27566913407, 0.0397965643203
0.254973456407, 0.0396069793817
0.258026619348, 0.0393506641109
0.251021308768, 0.0398293320921
0.28640626154, 0.0397649626656
0.233547536197, 0.0397910072679
0.159102547255, 0.0395438776913
0.320186165887, 0.040285603872
0.356668457548, 0.0412410980852
0.288405136245, 0.0408359582525
0.30052576345, 0.0411579444593
0.313809571624, 0.0403698081762
0.287827566136, 0.0406545623083
0.264691411468, 0.040526456644
0.28666116047, 0.0404952331728
0.376411036009, 0.041106851697
0.255817922936, 0.0407961598747
0.306092496965, 0.0408230023957
0.262805411774, 0.0406557138862
0.235016788668, 0.0412830365911
0.259402090387, 0.0405187799548
0.287038320665, 0.0406778230299
0.312909594913, 0.0411442328027
0.327345796455, 0.0406413557027
0.342270033025, 0.0408810796223
0.335881287021, 0.04045011942
0.334294500223, 0.0407512108871
